max_wait_seconds,n_replications,avg_quote,expected_conversion_rate,simulated_conversion_rate,shared_rate_given_conversion,avg_wait_time,revenue,cost,profit,profit_per_request,profit_per_converted_rider,matched_pairs,BASE_PRICE,EMPTY_QUEUE_BUMP,MAX_CANDIDATES,BASE_MIN_SAVING_RATIO,BASE_MIN_ABSOLUTE_SAVING,LARGE_QUEUE_THRESHOLD,,Profit(value),value_flag
120,1,0.681546318,0.371413878,0.37478792,0.738343142,45.4583522,10272.13331,8832.597699,1439.535612,0.122118732,0.325834226,1631,0.7,0,12,0.08,0.22,8,,1439.535612,FALSE
15,1,0.686607567,0.361990991,0.365032236,0.324889612,11.24750174,9996.22136,9335.368455,660.852905,0.056061495,0.153579574,699,0.7,0,12,0.08,0.28,6,,660.852905,FALSE
60,1,0.682159145,0.369751838,0.371733967,0.621177545,29.89616613,10150.8702,8925.627611,1225.242584,0.103939819,0.279608075,1361,0.7,0,12,0.08,0.28,6,,1225.242584,FALSE
120,1,0.681582457,0.371236135,0.374194096,0.741781909,45.1709363,10260.10881,8822.637983,1437.470822,0.121943572,0.325883206,1636,0.7,0,12,0.08,0.28,6,,1437.470822,FALSE
15,1,0.686598914,0.362006007,0.365032236,0.323960028,11.25795956,9996.212555,9336.170335,660.0422195,0.055992723,0.153391173,697,0.7,0,12,0.08,0.28,8,,660.0422195,FALSE
60,1,0.681966916,0.37014797,0.372242959,0.611212397,30.36030082,10166.97885,8933.272859,1233.705993,0.104657787,0.281154511,1341,0.7,0,12,0.08,0.28,8,,1233.705993,FALSE
120,1,0.681482016,0.371458468,0.374703088,0.736699117,45.70341861,10266.0302,8828.520273,1437.50993,0.121946889,0.325449384,1627,0.7,0,12,0.08,0.28,8,,1437.50993,FALSE
15,1,0.686590601,0.362008294,0.364862572,0.319460591,11.30969542,9984.99659,9327.367015,657.63,0.055788054,0.152901552,687,0.7,0,12,0.08,0.35,6,,657.6295752,FALSE
60,1,0.68205531,0.36995448,0.372242959,0.618049225,30.06107566,10162.34902,8926.968041,1235.380982,0.10479988,0.281536231,1356,0.7,0,12,0.08,0.35,6,,1235.380982,FALSE
120,1,0.681483373,0.371580948,0.374957584,0.735746606,45.77375566,10280.06429,8835.749651,1444.314637,0.122524146,0.326768017,1626,0.7,0,12,0.08,0.35,6,,1444.314637,FALSE
15,1,0.686576858,0.362034654,0.364862572,0.318065566,11.32387817,9984.938563,9328.386736,656.551827,0.055696626,0.152650971,684,0.7,0,12,0.08,0.35,8,,656.551827,FALSE
60,1,0.681873431,0.370361458,0.372582287,0.609289617,30.49112022,10175.18024,8935.273216,1239.907022,0.105183833,0.282310342,1338,0.7,0,12,0.08,0.35,8,,1239.907022,FALSE
120,1,0.681359688,0.371832939,0.37521208,0.732082297,46.1465069,10276.06114,8827.868043,1448.19,0.122853164,0.327423264,1619,0.7,0,12,0.08,0.35,8,,1448.193097,FALSE
15,1,0.686462844,0.362362884,0.365541228,0.303086563,11.50174054,10019.05637,9347.655914,671.4004552,0.056956265,0.155813519,653,0.7,0,12,0.1,0.22,6,,671.4004552,FALSE
60,1,0.681741093,0.370719854,0.372836783,0.602957907,30.76905575,10184.98367,8930.264325,1254.71934,0.106440392,0.285487904,1325,0.7,0,12,0.1,0.22,6,,1254.71934,FALSE
